CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.05.03.01,Ativos por Impostos Correntes,12289713.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.05.03.02,Outros Ativos,69148705.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.05.03.02,Outros Ativos,74341638.0,N
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.06,Investimentos,17986425.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.06,Investimentos,19641884.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.06.01,Participações em Coligadas,17986425.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.06.01,Participações em Coligadas,19641884.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.06.02,Outros,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.06.02,Outros,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.07,Imobilizado,7411947.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.07,Imobilizado,7614059.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.07.01,Imobilizado de Uso,7411947.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.07.01,Imobilizado de Uso,7614059.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.07.02,Imobilizado de Arrendamento,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.07.02,Imobilizado de Arrendamento,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.08,Intangível,8813581.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.08,Intangível,8743714.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.08.01,Intangíveis,8165075.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.08.01,Intangíveis,8152132.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2015-12-31,1.08.02,Goodwill,648506.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2016-12-31,1.08.02,Goodwill,591582.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1,Ativo Total,1387215686.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1,Ativo Total,1353075042.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.01,Caixa e Equivalentes de Caixa,103127771.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.01,Caixa e Equivalentes de Caixa,47239964.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.01.01,Caixa e Depósitos Bancários,12798204.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.01.01,Caixa e Depósitos Bancários,13471112.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.01.02,Depósitos Interfinanceiros,32037173.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.01.02,Depósitos Interfinanceiros,22121240.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.01.03,Aplicações em Operações Compromissadas,58281504.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.01.03,Aplicações em Operações Compromissadas,11647612.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.01.04,Aplicações em Moeda Estrangeira,10890.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.01.04,Aplicações em Moeda Estrangeira,0.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.02,Aplicações Financeiras,121459334.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.02,Aplicações Financeiras,139125444.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,112339073.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,128668015.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.02.01.01,Títulos para Negociação,7669398.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.02.01.01,Títulos para Negociação,8453138.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.02.01.02,Títulos Disponíveis para Venda,104669675.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.02.01.02,Títulos Disponíveis para Venda,120214877.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,9120261.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,10457429.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.02.02.01,Títulos Mantidos até o Vencimento,9120261.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.02.02.01,Títulos Mantidos até o Vencimento,10457429.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.03,Empréstimos e Recebíveis,997779955.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.03,Empréstimos e Recebíveis,1003806850.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.03.01,Empréstimos a Instituições Financeiras Líquidos de Provisão,17070945.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.03.01,Empréstimos a Instituições Financeiras Líquidos de Provisão,12995622.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.03.02,Aplicações em Operações Compromissadas,313401181.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.03.02,Aplicações em Operações Compromissadas,336539148.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2016-12-31,1.03.03,Empréstimos a Clientes Líquidos de Provisão,603856735.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2017-12-31,1.03.03,Empréstimos a Clientes Líquidos de Provisão,585190941.0,N
